loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/initial_learning_rate,config/decay_patience,config/decay_rate,config/num_layers,config/units_per_layer,config/activation,config/batch_size,config/epochs,config/h,config/patience,logdir
224239.093828125,1732828066,,False,1,e2cb27c3,2024-11-28_22-07-46,1248.6333005428314,1248.6333005428314,23164,MW-PRD-197955,127.0.0.1,1248.6333005428314,1,0.0001,100,0.6487346682926307,4,64,ReLU,8,2000,24,200,e2cb27c3
235750.545,1732828036,,False,1,616ff5c6,2024-11-28_22-07-16,1167.846780538559,1167.846780538559,36408,MW-PRD-197955,127.0.0.1,1167.846780538559,1,0.0001,100,0.6482741041195332,3,64,ReLU,8,2000,24,200,616ff5c6
225323.810234375,1732828079,,False,1,181cba76,2024-11-28_22-07-59,746.2112188339233,746.2112188339233,19312,MW-PRD-197955,127.0.0.1,746.2112188339233,1,0.0001,100,0.6432873236390682,4,256,ReLU,8,2000,24,200,181cba76
231992.86328125,1732828119,,False,1,596a6a80,2024-11-28_22-08-39,742.3371486663818,742.3371486663818,26808,MW-PRD-197955,127.0.0.1,742.3371486663818,1,0.0001,100,0.7791891354413967,3,256,ReLU,8,2000,24,200,596a6a80
225547.031328125,1732828465,,False,1,9fcc82ae,2024-11-28_22-14-25,1007.0347871780396,1007.0347871780396,24992,MW-PRD-197955,127.0.0.1,1007.0347871780396,1,0.0001,100,0.6396494582085281,3,128,ReLU,8,2000,24,200,9fcc82ae
236517.735546875,1732828313,,False,1,b70653a2,2024-11-28_22-11-53,822.1763427257538,822.1763427257538,38944,MW-PRD-197955,127.0.0.1,822.1763427257538,1,0.0001,100,0.6436534549220997,3,128,ReLU,8,2000,24,200,b70653a2
226938.576328125,1732828525,,False,1,b205aa4e,2024-11-28_22-15-25,998.9109234809875,998.9109234809875,39712,MW-PRD-197955,127.0.0.1,998.9109234809875,1,0.0001,100,0.645544979044296,3,128,ReLU,8,2000,24,200,b205aa4e
231460.881953125,1732828398,,False,1,78f2d1de,2024-11-28_22-13-18,835.4502837657928,835.4502837657928,44136,MW-PRD-197955,127.0.0.1,835.4502837657928,1,0.0001,100,0.6264304042695626,3,256,ReLU,8,2000,24,200,78f2d1de
231739.12171875,1732828403,,False,1,0646496e,2024-11-28_22-13-23,786.7961504459381,786.7961504459381,43948,MW-PRD-197955,127.0.0.1,786.7961504459381,1,0.0001,100,0.7852193887844839,3,256,ReLU,8,2000,24,200,0646496e
236792.71671875,1732828659,,False,1,f4b2bcd5,2024-11-28_22-17-39,700.3224306106567,700.3224306106567,35520,MW-PRD-197955,127.0.0.1,700.3224306106567,1,0.0001,100,0.6264041201729884,3,128,ReLU,8,2000,24,200,f4b2bcd5
218626.515546875,1732829216,,False,1,0a55fbd2,2024-11-28_22-26-56,1215.3608379364014,1215.3608379364014,44492,MW-PRD-197955,127.0.0.1,1215.3608379364014,1,0.0001,100,0.6234945087920968,3,128,ReLU,8,2000,24,200,0a55fbd2
224642.311875,1732829056,,False,1,35ea3a36,2024-11-28_22-24-16,1011.5606651306152,1011.5606651306152,23324,MW-PRD-197955,127.0.0.1,1011.5606651306152,1,0.0001,100,0.6175367588000831,3,128,ReLU,8,2000,24,200,35ea3a36
