datetime,pred,kWh,seasonality
2023-07-18 10:00:00,6208270.312425524,6226190.41175,168
2023-07-18 11:00:00,6350607.391049229,6327577.55325,168
2023-07-18 12:00:00,6007844.366831854,6217231.614,168
2023-07-18 13:00:00,6046239.243093237,6614938.3165,168
2023-07-18 14:00:00,5960743.948523633,6557036.403125,168
2023-07-18 15:00:00,5896313.7570832595,6402784.386125,168
2023-07-18 16:00:00,5805187.040301852,6144799.605125,168
2023-07-18 17:00:00,5746570.202633642,6022492.2195,168
2023-07-18 18:00:00,5836041.005360745,6086214.345124999,168
2023-07-18 19:00:00,5715713.244768731,5937280.70925,168
2023-07-18 20:00:00,5516166.083811186,5744424.979125001,168
2023-07-18 21:00:00,5356718.797778137,5661940.142375,168
2023-07-18 22:00:00,5201207.8119395,5568500.7605,168
2023-07-18 23:00:00,4811911.920142882,5159889.477624999,168
2023-07-19 00:00:00,4664865.107574195,4886718.6049999995,168
2023-07-19 01:00:00,4469074.620063104,4708537.462874999,168
2023-07-19 02:00:00,4479679.917986482,4603508.591125,168
2023-07-19 03:00:00,4322888.55954048,4429618.204625,168
2023-07-19 04:00:00,4227037.463885792,4307352.475,168
2023-07-19 05:00:00,4561319.2985850945,4658534.36575,168
2023-07-19 06:00:00,5289711.288246885,5261999.6334999995,168
2023-07-19 07:00:00,5990361.2962252125,5931463.499375001,168
2023-07-19 08:00:00,6348498.134174362,6314897.064875,168
2023-07-19 09:00:00,6470177.79238154,6372642.860625,168
2023-07-19 10:00:00,6644598.805365965,6466993.87175,168
2023-07-19 11:00:00,6806682.209111519,6572126.208249999,168
2023-07-19 12:00:00,6445246.007126763,6277868.755,168
2023-07-19 13:00:00,6474187.11054565,6231375.131500001,168
2023-07-19 14:00:00,6339537.971988231,6121010.074125,168
2023-07-19 15:00:00,6219068.626496956,6028885.437124999,168
2023-07-19 16:00:00,6145797.977133244,5958849.366125001,168
2023-07-19 17:00:00,6078961.370735735,6008374.6245,168
2023-07-19 18:00:00,6140367.506681226,5972195.897125,168
2023-07-19 19:00:00,5960393.8311696425,5843581.186249999,168
2023-07-19 20:00:00,5683268.781254344,5628884.804125,168
2023-07-19 21:00:00,5531053.369214758,5575111.905375,168
2023-07-19 22:00:00,5443902.289810583,5517896.666499999,168
2023-07-19 23:00:00,5093043.910296068,5103903.873625001,168
2023-07-20 00:00:00,4583797.6117234975,4866331.739,168
2023-07-20 01:00:00,4391325.650780007,4663181.347875,168
2023-07-20 02:00:00,4331216.860258013,4533793.328125,168
2023-07-20 03:00:00,4158918.084345922,4353768.144625001,168
2023-07-20 04:00:00,4034720.72204943,4231817.609,168
2023-07-20 05:00:00,4339145.305502132,4512756.26275,168
2023-07-20 06:00:00,5015740.899877995,5134801.5075,168
2023-07-20 07:00:00,5700893.888138041,5741850.151375,168
2023-07-20 08:00:00,6028175.867176741,6052433.766875,168
2023-07-20 09:00:00,5985861.782809973,6044597.344625001,168
2023-07-20 10:00:00,6088427.706360459,6083688.39275,168
2023-07-20 11:00:00,6211889.690864235,6125680.276250001,168
2023-07-20 12:00:00,5841559.694096476,5837873.194,168
2023-07-20 13:00:00,5852396.064765938,5845215.6545,168
2023-07-20 14:00:00,5742234.803735919,5766491.752125,168
2023-07-20 15:00:00,5632727.727355942,5689783.077125,168
2023-07-20 16:00:00,5590649.047367759,5694165.388125,168
2023-07-20 17:00:00,5532979.743717186,5708664.9675,168
2023-07-20 18:00:00,5581536.525881588,5796374.847124999,168
2023-07-20 19:00:00,5488324.431686521,5694308.84725,168
