loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/p,config/q,config/P,config/Q,config/d,config/D,logdir
202854.8174498286,1732941106,,False,1,f617326c,2024-11-30_05-31-46,780.1391565799713,780.1391565799713,36240,MW-PRD-197955,127.0.0.1,780.1391565799713,1,10,1,0,1,1,1,f617326c
212523.3065610014,1732941464,,False,1,9d5fd90d,2024-11-30_05-37-44,995.0361104011536,995.0361104011536,25260,MW-PRD-197955,127.0.0.1,995.0361104011536,1,10,6,0,1,1,1,9d5fd90d
212276.68430397083,1732941703,,False,1,f4a905b3,2024-11-30_05-41-43,1072.7090611457825,1072.7090611457825,14956,MW-PRD-197955,127.0.0.1,1072.7090611457825,1,20,1,0,1,1,1,f4a905b3
212554.74368980032,1732941442,,False,1,85416d8c,2024-11-30_05-37-22,748.7985565662384,748.7985565662384,23928,MW-PRD-197955,127.0.0.1,748.7985565662384,1,3,5,0,1,1,1,85416d8c
219726.41995368787,1732941546,,False,1,a80ab84d,2024-11-30_05-39-06,677.2257072925568,677.2257072925568,4144,MW-PRD-197955,127.0.0.1,677.2257072925568,1,3,3,0,1,1,1,a80ab84d
204499.94811356938,1732941977,,False,1,ab13e3c8,2024-11-30_05-46-17,863.1992537975311,863.1992537975311,33732,MW-PRD-197955,127.0.0.1,863.1992537975311,1,7,5,0,1,1,1,ab13e3c8
221392.2447833543,1732942333,,False,1,5d4fbd8f,2024-11-30_05-52-13,882.8019328117371,882.8019328117371,8952,MW-PRD-197955,127.0.0.1,882.8019328117371,1,8,3,0,1,1,1,5d4fbd8f
221392.2447833543,1732942367,,False,1,9ac260b0,2024-11-30_05-52-47,895.4955186843872,895.4955186843872,19852,MW-PRD-197955,127.0.0.1,895.4955186843872,1,8,3,0,1,1,1,9ac260b0
213175.10132233414,1732942763,,False,1,5ab234ec,2024-11-30_05-59-23,1208.9370527267456,1208.9370527267456,23312,MW-PRD-197955,127.0.0.1,1208.9370527267456,1,19,4,0,1,1,1,5ab234ec
211409.1606430254,1732942584,,False,1,24ad4a61,2024-11-30_05-56-24,873.0420067310333,873.0420067310333,7284,MW-PRD-197955,127.0.0.1,873.0420067310333,1,8,4,0,1,1,1,24ad4a61
211409.1606430254,1732942849,,False,1,f8405817,2024-11-30_06-00-49,864.626011133194,864.626011133194,12140,MW-PRD-197955,127.0.0.1,864.626011133194,1,8,4,0,1,1,1,f8405817
221392.24478335452,1732943166,,False,1,d0d73078,2024-11-30_06-06-06,825.9213559627533,825.9213559627533,41616,MW-PRD-197955,127.0.0.1,825.9213559627533,1,5,4,0,1,1,1,d0d73078
225655.48056305485,1732943085,,False,1,4ab16fb9,2024-11-30_06-04-45,710.2028412818909,710.2028412818909,41124,MW-PRD-197955,127.0.0.1,710.2028412818909,1,1,6,0,1,1,1,4ab16fb9
221392.24478335452,1732943430,,False,1,37b2f6de,2024-11-30_06-10-30,838.1998133659363,838.1998133659363,42012,MW-PRD-197955,127.0.0.1,838.1998133659363,1,5,4,0,1,1,1,37b2f6de
206126.04965310826,1732943523,,False,1,fef7f781,2024-11-30_06-12-03,752.6839380264282,752.6839380264282,29676,MW-PRD-197955,127.0.0.1,752.6839380264282,1,7,2,0,1,1,1,fef7f781
203331.20103749054,1732943561,,False,1,a945992c,2024-11-30_06-12-41,704.2468676567078,704.2468676567078,24256,MW-PRD-197955,127.0.0.1,704.2468676567078,1,9,0,0,1,1,1,a945992c
